Template	Painted_domain	Instances	Anatomy
JRC_FlyEM_Hemibrain_c	EB on JRC_FlyEM_Hemibrain	1	['ellipsoid body']
JRC_FlyEM_Hemibrain_c	PRW on JRC_FlyEM_Hemibrain	1	['prow']
JRC_FlyEM_Hemibrain_c	ICL(R) on JRC_FlyEM_Hemibrain	1	['inferior clamp']
JRC_FlyEM_Hemibrain_c	FBl6 on JRC_FlyEM_Hemibrain	1	['fan-shaped body layer 6']
JRC_FlyEM_Hemibrain_c	LAL(L) on JRC_FlyEM_Hemibrain	1	['adult lateral accessory lobe']
JRC_FlyEM_Hemibrain_c	gL(L) on JRC_FlyEM_Hemibrain	1	['adult mushroom body gamma-lobe']
JRC_FlyEM_Hemibrain_c	SLP(R) on JRC_FlyEM_Hemibrain	1	['superior lateral protocerebrum']
JRC_FlyEM_Hemibrain_c	FBl7 on JRC_FlyEM_Hemibrain	1	['fan-shaped body layer 7']
JRC_FlyEM_Hemibrain_c	PVLP(R) on JRC_FlyEM_Hemibrain	1	['posterior ventrolateral protocerebrum']
JRC_FlyEM_Hemibrain_c	GOR(R) on JRC_FlyEM_Hemibrain	1	['gorget']
JRC_FlyEM_Hemibrain_c	VES(L) on JRC_FlyEM_Hemibrain	1	['vest']
JRC_FlyEM_Hemibrain_c	RUB(L) on JRC_FlyEM_Hemibrain	1	['rubus']
JRC_FlyEM_Hemibrain_c	ROB(R) on JRC_FlyEM_Hemibrain	1	['adult round body']
JRC_FlyEM_Hemibrain_c	NO3(L) on JRC_FlyEM_Hemibrain	1	['nodulus 3']
JRC_FlyEM_Hemibrain_c	EBr6 on JRC_FlyEM_Hemibrain	1	['ellipsoid body outer posterior domain']
JRC_FlyEM_Hemibrain_c	PLP(R) on JRC_FlyEM_Hemibrain	1	['posterior lateral protocerebrum']
JRC_FlyEM_Hemibrain_c	PB(R6) on JRC_FlyEM_Hemibrain	1	['protocerebral bridge glomerulus 6']
JRC_FlyEM_Hemibrain_c	PB on JRC_FlyEM_Hemibrain	1	['protocerebral bridge']
JRC_FlyEM_Hemibrain_c	NO2(L) on JRC_FlyEM_Hemibrain	1	['nodulus 2']
JRC_FlyEM_Hemibrain_c	a\'L(L) on JRC_FlyEM_Hemibrain	1	"[""adult mushroom body alpha'-lobe""]"
JRC_FlyEM_Hemibrain_c	ME(R) on JRC_FlyEM_Hemibrain	1	['medulla']
JRC_FlyEM_Hemibrain_c	PB(R9) on JRC_FlyEM_Hemibrain	1	['protocerebral bridge glomerulus 9']
JRC_FlyEM_Hemibrain_c	SCL(R) on JRC_FlyEM_Hemibrain	1	['superior clamp']
JRC_FlyEM_Hemibrain_c	AL(R) on JRC_FlyEM_Hemibrain	1	['adult antennal lobe']
JRC_FlyEM_Hemibrain_c	bL(L) on JRC_FlyEM_Hemibrain	1	['adult mushroom body beta-lobe']
JRC_FlyEM_Hemibrain_c	aL(L) on JRC_FlyEM_Hemibrain	1	['adult mushroom body alpha-lobe']
JRC_FlyEM_Hemibrain_c	PB(L3) on JRC_FlyEM_Hemibrain	1	['protocerebral bridge glomerulus 3']
JRC_FlyEM_Hemibrain_c	AVLP(R) on JRC_FlyEM_Hemibrain	1	['anterior ventrolateral protocerebrum']
JRC_FlyEM_Hemibrain_c	EBr5 on JRC_FlyEM_Hemibrain	1	['ellipsoid body anterior domain']
JRC_FlyEM_Hemibrain_c	FB on JRC_FlyEM_Hemibrain	1	['fan-shaped body']
JRC_FlyEM_Hemibrain_c	AB(L) on JRC_FlyEM_Hemibrain	1	['asymmetrical body']
JRC_FlyEM_Hemibrain_c	LOP(R) on JRC_FlyEM_Hemibrain	1	['lobula plate']
JRC_FlyEM_Hemibrain_c	SAD on JRC_FlyEM_Hemibrain	1	['saddle']
JRC_FlyEM_Hemibrain_c	EBr2r4 on JRC_FlyEM_Hemibrain	1	['ellipsoid body outer central domain']
JRC_FlyEM_Hemibrain_c	FBl2 on JRC_FlyEM_Hemibrain	1	['fan-shaped body layer 2']
JRC_FlyEM_Hemibrain_c	PB(L4) on JRC_FlyEM_Hemibrain	1	['protocerebral bridge glomerulus 4']
L3 CNS template - Wood2018_c	right central neuropil of T3 on L3 CNS template, Wood2018	1	['central domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of labial segment on L3 CNS template, Wood2018	1	['centromedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of T2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A3 on L3 CNS template, Wood2018	1	['centromedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A6 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	protocerebral bridge - primordial on L3 CNS template, Wood2018	1	['embryonic/larval protocerebral bridge - primordial']
L3 CNS template - Wood2018_c	left central neuropil of A5 on L3 CNS template, Wood2018	1	['central domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A4 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	posterior ventromedial cerebrum on L3 CNS template, Wood2018	1	['embryonic/larval posterior ventromedial cerebrum']
L3 CNS template - Wood2018_c	left central neuropil of A7 on L3 CNS template, Wood2018	1	['central domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A7 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of T1 on L3 CNS template, Wood2018	1	['centromedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centromedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A2 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A2 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A4 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A6 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A3 on L3 CNS template, Wood2018	1	['centromedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	fan-shaped body - primordial on L3 CNS template, Wood2018	1	['embryonic/larval fan-shaped body - primordial']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of T1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A6 on L3 CNS template, Wood2018	1	['centromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left centromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	left ventromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['ventromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	left ventromedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	superior lateral protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval superior lateral protocerebrum']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A5 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of mandibular segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left central neuropil of labial segment on L3 CNS template, Wood2018	1	['central domain of larval labial neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A9 on L3 CNS template, Wood2018	1	['central domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A5 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A1 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of T1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['central domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	lateral accessory lobe on L3 CNS template, Wood2018	1	['embryonic/larval lateral accessory lobe']
L3 CNS template - Wood2018_c	right centromedial neuropil of A6 on L3 CNS template, Wood2018	1	['centromedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left T2 leg neuropil on L3 CNS template, Wood2018	1	['larval T2 leg neuropil']
L3 CNS template - Wood2018_c	right centromedial neuropil of A4 on L3 CNS template, Wood2018	1	['centromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right T2 leg neuropil on L3 CNS template, Wood2018	1	['larval T2 leg neuropil']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['dorsolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A7 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A9 on L3 CNS template, Wood2018	1	['central domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right centrolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centrolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left centromedial neuropil of A8 on L3 CNS template, Wood2018	1	['centromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A5 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A4 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A8 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	ventrolateral protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval ventrolateral protocerebrum']
L3 CNS template - Wood2018_c	left central neuropil of A3 on L3 CNS template, Wood2018	1	['central domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A7 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	antennal lobe on L3 CNS template, Wood2018	1	['embryonic/larval antennal lobe']
L3 CNS template - Wood2018_c	left centromedial neuropil of labial segment on L3 CNS template, Wood2018	1	['centromedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A8 on L3 CNS template, Wood2018	1	['central domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left dorsal neuropil of A9 on L3 CNS template, Wood2018	1	['dorsal domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right central subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['central domain of larval central nervous system']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A4 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A7 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of T2 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A8 on L3 CNS template, Wood2018	1	['centromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of T2 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T2 neuromere', 'ventrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left central subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['central domain of larval central nervous system']
L3 CNS template - Wood2018_c	superior intermediate protocerebrum on L3 CNS template, Wood2018	1	['superior intermediate protocerebrum']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	nodulus - primordial on L3 CNS template, Wood2018	1	['embryonic/larval nodulus - primordial']
L3 CNS template - Wood2018_c	right centromedial neuropil of A1 on L3 CNS template, Wood2018	1	['centromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A1 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A5 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A1 on L3 CNS template, Wood2018	1	['central domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['dorsal domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	right centrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	crepine on L3 CNS template, Wood2018	1	['embryonic/larval crepine']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A4 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['dorsal domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of T1 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	right T3 leg neuropil on L3 CNS template, Wood2018	1	['larval T3 leg neuropil']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of T1 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T1 neuromere', 'ventrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A6 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of T2 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of T3 on L3 CNS template, Wood2018	1	['centromedial domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	anterior superior medial protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval anterior superior medial protocerebrum']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of T3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A4 on L3 CNS template, Wood2018	1	['central domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of T1 on L3 CNS template, Wood2018	1	['central domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	medial lobe of mushroom body on L3 CNS template, Wood2018	1	['medial lobe of larval mushroom body']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of labial segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left ventral neuropil of A9 on L3 CNS template, Wood2018	1	['ventral domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of T3 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T3 neuromere', 'ventrolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A5 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of A6 on L3 CNS template, Wood2018	1	['central domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A8 on L3 CNS template, Wood2018	1	['central domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left centrolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['centrolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['dorsomedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A4 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A3 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A7 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of tritocerebrum on L3 CNS template, Wood2018	1	['ventromedial domain of larval tritocerebrum']
L3 CNS template - Wood2018_c	right central neuropil of labial segment on L3 CNS template, Wood2018	1	['central domain of larval labial neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of T2 on L3 CNS template, Wood2018	1	['central domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of T3 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['dorsomedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	right ventral neuropil of A9 on L3 CNS template, Wood2018	1	['ventral domain of larval A9 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A7 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A1 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of T1 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T1 neuromere', 'ventrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	posterior lateral protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval posterior lateral protocerebrum']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A2 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A7 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of T2 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of T2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A6 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A5 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of T2 on L3 CNS template, Wood2018	2	['ventrolateral domain of larval T2 neuromere', 'ventrolateral domain of larval T2 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['dorsolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	right dorsomedial neuropil of A4 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right ventromedial subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['ventromedial domain of larval central nervous system']
L3 CNS template - Wood2018_c	left T1 leg neuropil on L3 CNS template, Wood2018	1	['larval T1 leg neuropil']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A7 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A8 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right centromedial neuropil of A2 on L3 CNS template, Wood2018	1	['centromedial domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of A3 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of T3 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of mandibular segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left ventrolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['ventrolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left ventromedial neuropil of labial segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval labial neuromere']
L3 CNS template - Wood2018_c	superior medial protocerebrum on L3 CNS template, Wood2018	1	['embryonic/larval superior medial protocerebrum']
L3 CNS template - Wood2018_c	right centrolateral neuropil of A8 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A8 neuromere']
L3 CNS template - Wood2018_c	right ventromedial neuropil of maxillary segment on L3 CNS template, Wood2018	1	['ventromedial domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of labial segment on L3 CNS template, Wood2018	1	['dorsolateral domain of larval labial neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A3 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	lateral appendix of mushroom body on L3 CNS template, Wood2018	1	['lateral appendix of larval mushroom body']
L3 CNS template - Wood2018_c	right central neuropil of mandibular segment on L3 CNS template, Wood2018	1	['central domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of maxillary segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval maxillary neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A1 on L3 CNS template, Wood2018	1	['centromedial domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of T1 on L3 CNS template, Wood2018	1	['centrolateral domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	spur of mushroom body on L3 CNS template, Wood2018	1	['spur of larval mushroom body']
L3 CNS template - Wood2018_c	left T3 leg neuropil on L3 CNS template, Wood2018	1	['larval T3 leg neuropil']
L3 CNS template - Wood2018_c	right dorsolateral subdivision of ventral nerve cord on L3 CNS template, Wood2018	1	['dorsolateral domain of larval central nervous system']
L3 CNS template - Wood2018_c	left centromedial neuropil of A4 on L3 CNS template, Wood2018	1	['centromedial domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A6 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right T1 leg neuropil on L3 CNS template, Wood2018	1	['larval T1 leg neuropil']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	calyx of mushroom body on L3 CNS template, Wood2018	1	['calyx of larval mushroom body']
L3 CNS template - Wood2018_c	right ventromedial neuropil of A7 on L3 CNS template, Wood2018	1	['ventromedial domain of larval A7 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A2 on L3 CNS template, Wood2018	1	['central domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of mandibular segment on L3 CNS template, Wood2018	1	['central domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A6 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of T1 on L3 CNS template, Wood2018	1	['central domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	right centrolateral neuropil of mandibular segment on L3 CNS template, Wood2018	1	['centrolateral domain of larval mandibular neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of A5 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right ventrolateral neuropil of A5 on L3 CNS template, Wood2018	1	['ventrolateral domain of larval A5 neuromere']
L3 CNS template - Wood2018_c	right dorsolateral neuropil of A2 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	left centrolateral neuropil of A2 on L3 CNS template, Wood2018	1	['centrolateral domain of larval A2 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A1 on L3 CNS template, Wood2018	1	['central domain of larval A1 neuromere']
L3 CNS template - Wood2018_c	left central neuropil of T3 on L3 CNS template, Wood2018	1	['central domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left dorsomedial neuropil of T1 on L3 CNS template, Wood2018	1	['dorsomedial domain of larval T1 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A6 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A6 neuromere']
L3 CNS template - Wood2018_c	right central neuropil of A4 on L3 CNS template, Wood2018	1	['central domain of larval A4 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of A3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval A3 neuromere']
L3 CNS template - Wood2018_c	left dorsolateral neuropil of T3 on L3 CNS template, Wood2018	1	['dorsolateral domain of larval T3 neuromere']
L3 CNS template - Wood2018_c	left centromedial neuropil of A7 on L3 CNS template, Wood2018	1	['centromedial domain of larval A7 neuromere']
